SC,E_E_dmd_excl,theta_ex_d_t,E_p_0,E_p_1,E_p_2,E_p_3,E_E_PV_h,E_E_PV_sell,E_E_PV_chg,E_E_PSS_h,E_E_PSS_max_sup,E_E_srpl,E_E_dmd_incl,E_E_aux_PSS,E_dash_dash_E_PV_chg,E_dash_dash_E_srpl,E_dash_dash_E_SB_sup,E_E_PV_max_sup,E_E_SB_max_sup,E_dash_dash_E_PV_max_sup,E_dash_dash_E_SB_max_sup,E_E_SB_max_chg,E_E_aux_PCS
1.0,0.24825555211419753,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27625555211419756,3.0767948054578707,0.0,0.27625555211419756,0.028,0.0,0.0,1.5,0.0,3.0767948054578707,0.0,3.377225441495252,0.6,0.025
1.0,0.13875555211419754,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16675555211419754,1.6186929718414202,0.0,0.16675555211419754,0.028,0.0,0.0,1.5,0.0,1.6186929718414202,0.0,1.8817363813758157,0.6,0.025
1.0,0.14655555211419755,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17455555211419754,0.21170193516561248,0.0,0.17455555211419754,0.028,0.0,0.0,1.5,0.0,0.21170193516561248,0.0,0.35283655860935415,0.6,0.025
1.0,0.14655555211419755,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055555211419755,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.13875555211419754,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14275555211419755,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14655555211419755,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15055555211419755,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.14655555211419755,2.3,0.013422458668650746,0.0,0.0,0.0,0.007811870945154733,0.0,0.0,0.0,0.007811870945154733,0.0,0.17455555211419754,0.028,0.0,0.0,0.0,0.007811870945154733,0.0,0.013019784908591223,0.0,0.6,0.025
1.0,4.748304970877259,2.3,0.34779203028031674,0.0,0.0,0.0,0.2533243126376095,0.0,0.0,0.0,0.2533243126376095,0.0,4.776304970877258,0.028,0.0,0.0,0.0,0.2533243126376095,0.0,0.3373582693719072,0.0,0.6,0.025
1.0,1.9258372865700597,3.7,0.9302072153724459,0.0,0.0,0.0,0.8041434739384906,0.0,0.0,0.0,0.8041434739384906,0.0,1.9538372865700597,0.028,0.0,0.0,0.0,0.8041434739384906,0.0,0.9023009989112724,0.0,0.6,0.025
1.0,1.1937976512585744,5.9,1.9642611745690786,0.0,0.0,0.0,1.2217976512585744,0.0,0.5603023545901316,0.0,1.782100005848706,0.5603023545901316,1.2217976512585744,0.028,1.3125,1.5,0.0,1.782100005848706,0.0,1.905333339332006,0.0,2.2412094183605262,0.025
1.0,0.7602849548389239,7.7,2.0453194132786177,0.0,0.0,0.0,0.7882849548389239,0.0,1.0704758802693284,0.0,2.893088984025718,1.0704758802693284,0.7882849548389239,0.028,1.3125,1.5,0.0,1.8587608351082523,1.0343281489174656,1.9839598308802588,1.2823878450435544,3.508045666752233,0.025
1.0,0.7238368747523436,8.5,2.332002796551759,0.0,0.0,0.0,0.7518368747523436,0.0,1.378054770086482,0.0,4.398909979424005,1.378054770086482,0.7518368747523436,0.028,1.3125,1.5,0.0,2.1298916448388256,2.269018334585179,2.262042712655206,2.548736753420697,3.2223485005701864,0.025
1.0,0.7541840563158783,9.3,1.3326368847352708,0.0,0.0,0.0,0.7821840563158783,0.0,0.4025572774225038,0.0,4.660943451429151,0.4025572774225038,0.7821840563158783,0.028,1.3125,1.5,0.0,1.184741333738382,3.4762021176907685,1.2926577781932125,3.7868739668623266,0.5765505224552853,0.025
1.0,0.3277604240265989,9.8,0.5336253895662598,0.0,0.0,0.0,0.3557604240265989,0.0,0.07331578815569129,0.0,5.07562442401902,0.07331578815569129,0.3557604240265989,0.028,1.3125,1.5,0.0,0.4290762121822902,4.64654821183673,0.517616627879272,4.987228935217159,0.07331578815569129,0.025
1.0,0.14655555211419755,9.6,0.7167039549537518,0.0,0.0,0.0,0.17455555211419754,0.0,0.4276672132833132,0.0,5.821199666296949,0.4276672132833132,0.17455555211419754,0.028,1.3125,1.5,0.0,0.6022227653975107,5.218976900899438,0.6952028363051392,5.574335282973783,0.4276672132833132,0.025
1.0,0.14655555211419755,8.9,0.2101531762427585,0.0,0.0,0.0,0.12315236643158882,0.0,0.0,0.051403185682608724,5.342129267331027,0.0,0.17455555211419754,0.028,0.0,0.0,1.5,0.12315236643158882,5.218976900899438,0.20384858095547573,5.574335282973783,0.6,0.025
1.0,1.168311237713851,7.9,0.013292755734822373,0.0,0.0,0.0,0.00773638383766662,0.0,0.0,1.1885748538761842,3.8520493902598547,0.0,1.196311237713851,0.028,0.0,0.0,1.5,0.00773638383766662,3.844313006422188,0.012893973062777701,4.164423596330449,0.6,0.025
1.0,1.401860257108507,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429860257108507,2.411410658138779,0.0,1.429860257108507,0.028,0.0,0.0,1.6880618021625713,0.0,2.411410658138779,0.0,2.6947801621936196,0.6,0.025
1.0,1.1540610100936497,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7434302593802228,0.7434302593802228,0.0,1.1820610100936497,0.028,0.0,0.0,1.5,0.0,0.7434302593802228,0.0,0.9840310352617669,0.6,0.025
1.0,1.2307997826573474,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2347997826573474,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.3521142351186473,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3561142351186473,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.57787582160947,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58187582160947,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.7591898030697881,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7631898030697881,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.5240254076273119,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280254076273119,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.33881280513524603,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34281280513524603,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.1387579575925926,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427579575925926,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.1465579575925926,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505579575925926,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.1465579575925926,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505579575925926,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,0.1387579575925926,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427579575925926,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,2.807556407059696,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.811556407059696,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.002
1.0,1.2136066848827995,5.1,0.013307721457956419,0.0,0.0,0.0,0.007745093888530634,0.0,0.0,0.0,0.007745093888530634,0.0,1.2416066848827996,0.028,0.0,0.0,0.0,0.007745093888530634,0.0,0.012908489814217725,0.0,0.6,0.025
1.0,1.186490956171285,4.5,0.12617221847675839,0.0,0.0,0.0,0.07343223115347337,0.0,0.0,0.0,0.07343223115347337,0.0,1.214490956171285,0.028,0.0,0.0,0.0,0.07343223115347337,0.0,0.12238705192245562,0.0,0.6,0.025
1.0,0.8856111413127568,5.3,0.23680063426600884,0.0,0.0,0.0,0.14835419985707782,0.0,0.0,0.0,0.14835419985707782,0.0,0.9136111413127568,0.028,0.0,0.0,0.0,0.14835419985707782,0.0,0.22969661523802853,0.0,0.6,0.025
